seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples
44,0.07,0.05,0.0,0.006467368135190998,0.006467368133099116,0.017657016995825003,0.02412438512892412,0.34228784363994513,11.012901404536269,16,750
44,0.07,0.05,0.05,6.448277357962909,7.51426565639197,0.7466632320778899,8.26092888846986,0.006045763365594323,2.3158472952286777,16,750
44,0.07,0.05,0.12,6.472116328160583,7.194747258206373,1.5829592399510073,8.77770649815738,0.007965072707618776,2.0320251403873675,16,750
44,0.07,0.05,0.22,6.242782775993625,6.283331334915214,2.4064908812198116,8.689822216135026,0.008486475660414036,2.3980575551465795,16,750
44,0.07,0.05,0.3,5.652432756055664,5.652432756048742,2.862931878589655,8.515364634638397,0.0077813391360267645,2.213237809048964,16,750
44,0.07,0.1,0.0,0.0,0.0,0.0,0.0,0.2298053742801483,12.360242389706876,16,750
44,0.07,0.1,0.05,7.214964602930297,8.96114767832109,0.4832966714970899,9.44444434981818,0.009014790977465919,3.607678721769957,16,750
44,0.07,0.1,0.12,7.619183889125532,8.145707308094327,2.174059481410358,10.319766789504685,0.011842865029937696,3.492777162505387,16,750
44,0.07,0.1,0.22,6.511922004694442,6.542166924846227,3.096069657010678,9.638236581856905,0.011752845546279617,2.537884078421721,16,750
44,0.07,0.1,0.3,5.467934871159327,5.467934871156093,3.8242111969062167,9.292146068062308,0.010537664785038292,2.203058221384938,16,750
44,0.07,0.12,0.0,0.0,0.0,0.0,0.0,0.2566215552183466,11.404435291379471,16,750
44,0.07,0.12,0.05,7.51565872972508,8.98894221876284,0.8050957649669527,9.794037983729794,0.010503380627271642,4.8457972283096185,16,750
44,0.07,0.12,0.12,7.422920970078724,7.643393473719872,2.5312019828148964,10.174595456534767,0.013078650843674166,3.8080165373207393,16,750
44,0.07,0.12,0.22,6.3320190573399735,6.332522021000287,3.3547531886713786,9.687275209671665,0.012466171107034265,2.633822281228461,16,750
44,0.07,0.12,0.3,5.31133647230075,5.311336472295128,4.06895648988392,9.380292962179048,0.011118344438680735,2.3131994719014,16,750
44,0.07,0.16,0.0,0.002174524868937433,0.034252966714753974,0.026276839797974905,0.06052980651272888,0.24226103019755912,11.97477795440072,16,750
44,0.07,0.16,0.05,7.27894662478755,8.553598958411374,1.548426004777434,10.102024963188809,0.01326256519177382,6.839516800798011,16,750
44,0.07,0.16,0.12,6.844394677777058,6.969891582182505,2.9317364377639503,9.901628019946456,0.013686151988774185,4.179185596662045,16,750
44,0.07,0.16,0.22,5.8506418126794575,5.855376259729025,3.324055190744759,9.179431450473784,0.01191385455460127,2.8403918595716298,16,750
44,0.07,0.16,0.3,5.093983628413458,5.093983628407329,3.8979965666754515,8.991980195082782,0.010518491741162813,2.4909390435421512,16,750
44,0.07,0.28,0.0,0.0055156689607713805,0.009153517221764274,0.0,0.009153517221764274,0.2601135743457961,11.520930439239317,16,750
44,0.07,0.28,0.05,5.792361722744246,6.489663960473147,1.8570368518538296,8.346700812326977,0.018760263808839613,5.547165204641338,16,750
44,0.07,0.28,0.12,5.796717121023531,5.812136281508586,3.0791210165060177,8.891257298014605,0.010990032481333895,4.630389693748946,16,750
44,0.07,0.28,0.22,5.203325649443318,5.2033256494353,3.8217047217927154,9.025030371228015,0.006605911545027892,3.4900502339592854,16,750
44,0.07,0.28,0.3,4.599330268438443,4.599330268430738,3.555766984849927,8.155097253280665,0.005265698593737733,2.9957460718699993,16,750
44,0.07,0.42,0.0,0.0,0.0,0.001445481840407714,0.001445481840407714,0.25055010000246836,11.414494746493562,16,750
44,0.07,0.42,0.05,6.884706869435533,8.333410322461651,0.6014083275219008,8.934818649983551,0.007653882760858739,2.726375791800107,16,750
44,0.07,0.42,0.12,7.525626482000924,8.025811778691342,1.916139343798684,9.941951122490025,0.010286931112514705,2.901317879789674,16,750
44,0.07,0.42,0.22,6.717658461265431,6.726808021901277,2.8228465254306583,9.549654547331937,0.010657145748278404,2.511686615784878,16,750
44,0.07,0.42,0.3,5.600750639757341,5.619312537269272,3.5767842763794526,9.196096813648724,0.00962669001764618,2.1502844684774938,16,750
44,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4574554693722417,10.38146586863766,16,750
44,0.1,0.0,0.05,0.0,0.0,0.8147226123334844,0.8147226123334844,0.002042430141985148,3.5027170184415297,16,750
44,0.1,0.0,0.12,0.0,0.0,1.5212705441390488,1.5212705441390488,0.0031556227951844255,2.153403479154498,16,750
44,0.1,0.0,0.22,0.0,0.0,2.2719452739231074,2.2719452739231074,0.003898833289477443,1.7186889879495968,16,750
44,0.1,0.0,0.3,0.0,0.0,2.9579513635949093,2.9579513635949093,0.003923172242156135,1.5912235491791005,16,750
44,0.1,0.05,0.0,0.013508459084238256,0.01572592914577564,0.0009097209893632607,0.016635650135138902,0.29388374881800705,11.206087970157961,16,750
44,0.1,0.05,0.05,5.611014729104863,6.275759965470723,0.8628033272686066,7.138563292739329,0.008347923691971838,2.488750776640163,16,750
44,0.1,0.05,0.12,5.810533697455974,6.26575259676137,1.7049817530950357,7.970734349856405,0.011258809195376536,2.095291323065558,16,750
44,0.1,0.05,0.22,5.562595479876517,5.578475333011222,2.4411344592087163,8.019609792219939,0.012097113424325985,2.4446703066498374,16,750
44,0.1,0.05,0.3,4.950257079262026,4.950257079255665,2.763092642482193,7.713349721737858,0.011188079782592012,2.306411251249407,16,750
44,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.24778642781997534,12.206945319447925,16,750
44,0.1,0.1,0.05,6.408112813840082,7.289124053082011,0.8507330735230738,8.139857126605085,0.012581655535602195,3.720321259458302,16,750
44,0.1,0.1,0.12,6.817268784638905,7.069414785767458,2.5081270195730756,9.577541805340534,0.01653379140930212,3.5271220272226724,16,750
44,0.1,0.1,0.22,5.773675600341769,5.783089778105003,3.2889265408603645,9.072016318965368,0.016496873182179166,2.656999075997352,16,750
44,0.1,0.1,0.3,4.850092701162379,4.8500927011578465,3.9013121259932064,8.751404827151053,0.014893013634823187,2.316838886608572,16,750
44,0.1,0.12,0.0,0.0,0.0,0.006675125201451304,0.006675125201451304,0.24186091272681154,12.364215912463004,16,750
44,0.1,0.12,0.05,6.759481899415445,7.448452944892648,1.2340828086626563,8.682535753555305,0.014630348702863083,4.955251886317551,16,750
44,0.1,0.12,0.12,6.623452733080369,6.69516352236824,2.6994630576280354,9.394626579996276,0.018183571383945607,3.9344741981445046,16,750
44,0.1,0.12,0.22,5.629202448310409,5.629202448305437,3.4677109115238993,9.096913359829337,0.017494805788397624,2.786249238224888,16,750
44,0.1,0.12,0.3,4.690035478952346,4.690035478947452,4.129373813119312,8.819409292066764,0.01572199101732502,2.440593030697927,16,750
44,0.1,0.16,0.0,0.030870671780496628,0.04421513865058191,0.0,0.04421513865058191,0.23582273265767978,12.327247570545932,16,750
44,0.1,0.16,0.05,6.4364332340215284,7.081962764375436,1.8843327944553772,8.966295558830813,0.018186853958277065,7.145211977271372,16,750
44,0.1,0.16,0.12,6.0578671265154185,6.098645697969068,3.053294939399314,9.151940637368382,0.019100269367770185,4.480870271204922,16,750
44,0.1,0.16,0.22,5.153819587484112,5.1538195874760895,3.25395387100811,8.4077734584842,0.016859018782928743,3.061177861984769,16,750
44,0.1,0.16,0.3,4.489386764952611,4.489386764945177,3.7824041503154318,8.27179091526061,0.014965856992848319,2.6641663768886548,16,750
44,0.1,0.28,0.0,0.00641628879565459,0.009873801634595836,0.029594165891122515,0.03946796752571835,0.2373546071217628,12.396464309106646,16,750
44,0.1,0.28,0.05,5.0625398370629835,5.321671731126987,2.032800511813975,7.354472242940962,0.02523156811675788,5.375028750902642,16,750
44,0.1,0.28,0.12,5.047373414511582,5.047373414501187,3.16142442167088,8.208797836172067,0.016425110580073315,4.098983943747532,16,750
44,0.1,0.28,0.22,4.510792222980937,4.510792222971536,3.7525923924541478,8.263384615425684,0.010324092099007254,3.3058070180721444,16,750
44,0.1,0.28,0.3,3.8169119250745913,3.816911925068362,3.2805851656618557,7.097497090730218,0.008203595119541288,2.997319976585161,16,750
44,0.1,0.42,0.0,0.007365209008388662,0.008470942018527716,0.032649683956854414,0.04112062597538213,0.256999999325722,11.330885836347466,16,750
44,0.1,0.42,0.05,6.049435476145403,6.863764588590526,0.8098543768452213,7.673618965435748,0.010620027710783693,2.8645959182244973,16,750
44,0.1,0.42,0.12,6.777990475360255,6.933045950821188,2.2852308073055516,9.21827675812674,0.014337321151078442,2.935761689680797,16,750
44,0.1,0.42,0.22,5.940676851277843,5.940676851271433,2.9909754166364952,8.931652267907928,0.01497138944021196,2.5936917494514256,16,750
44,0.1,0.42,0.3,4.928087188022224,4.944208276428297,3.654278636298527,8.598486912726823,0.01364290549762414,2.2511376315893274,16,750
44,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.4547282557818023,10.464902123396358,16,750
44,0.22,0.0,0.05,0.0,0.0,0.8231148815285757,0.8231148815285757,0.007515257500791379,3.39398397561753,16,750
44,0.22,0.0,0.12,0.0,0.0,1.733572577514564,1.733572577514564,0.01271502845477313,2.144535732885288,16,750
