seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples
42,0.02,0.1,0.22,7.852301386003273,7.8523013859985715,2.7040218842689026,10.556323270267471,0.001511054603176,2.5047877259115903,16,750
42,0.02,0.1,0.3,6.295732440494826,6.295732440489264,3.1796870468276586,9.475419487316923,0.0016431359664875,2.21495828860291,16,750
42,0.02,0.12,0.0,0.0066386041662978,0.0066386041642062,0.0058733053748328,0.0125119095390391,0.2925926542366923,9.125634225580036,16,750
42,0.02,0.12,0.05,9.176478669032582,12.870910956237822,0.1045480561925852,12.975459012430408,0.0007531541724967,5.331540640022674,16,750
42,0.02,0.12,0.12,9.152477122257531,10.17452330853908,1.334758987448831,11.50928229598791,0.001175163494011,3.2813900736849027,16,750
42,0.02,0.12,0.22,7.337124402551765,7.337124402546147,3.262453058138153,10.5995774606843,0.0014913677219785,2.3887180193350908,16,750
42,0.02,0.12,0.3,6.146616652893713,6.146616652889328,3.308625123791529,9.455241776680856,0.0015839825430475,2.147375196391618,16,750
42,0.02,0.16,0.0,0.0,0.0,0.0031821039316773,0.0031821039316773,0.2469957762219448,10.875792847574,16,750
42,0.02,0.16,0.05,9.21093572478818,11.511165228768691,0.6064654021102306,12.117630630878924,0.0007568740220428,4.757994057754698,16,750
42,0.02,0.16,0.12,8.466307672757186,8.69346977861342,2.235458666266229,10.928928444879649,0.0011625602488523,2.8801361362300373,16,750
42,0.02,0.16,0.22,6.7519943014853645,6.751994301478507,3.2882217482334237,10.04021604971193,0.0013087892489161,2.1914594799846574,16,750
42,0.02,0.16,0.3,5.4606549957248784,5.462955398690791,3.163731275824241,8.626686674515032,0.0012546113287735,2.0307797635883174,16,750
42,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.264738597068831,9.599756673203151,16,750
42,0.02,0.28,0.05,8.222849846705195,11.154242220118311,0.7440300614759129,11.898272281594226,0.0016890331515117,2.615410882698509,16,750
