arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.006,0.025,0.085,96,0.15056021263983319,0.21835237942619384,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.006,0.025,0.085,96,0.14331758474982498,0.17821506921415908,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.006,0.025,0.085,96,0.14834179504526615,0.18447244758102968,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.006,0.025,0.09,96,0.14553670819067704,0.1883240466402669,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.006,0.025,0.09,96,0.14554694828030026,0.18296279247782826,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.006,0.025,0.09,96,0.15173941335106958,0.20239923911029073,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.006,0.025,0.09,96,0.13809208827728686,0.174738918214311,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.006,0.025,0.09,96,0.14485979389888717,0.1994797061216845,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.006,0.025,0.09,96,0.1484024243723485,0.1871940635406898,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.006,0.025,0.09,96,0.14899435872217884,0.18298351574018915,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.006,0.025,0.09,96,0.1531255799108175,0.21500062005501897,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.006,0.025,0.09,96,0.14344460226141428,0.17988722330968643,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.006,0.025,0.09,96,0.14740146043123478,0.18433336543415496,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.006,0.025,0.095,96,0.14481562011968357,0.18843999755448854,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.006,0.025,0.095,96,0.1470519016761131,0.18270532211736215,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.006,0.025,0.095,96,0.15285615904978614,0.20291115726547576,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.006,0.025,0.095,96,0.13713468630499542,0.17573045840711138,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.006,0.025,0.095,96,0.14454303473816393,0.1975427268948635,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.006,0.025,0.095,96,0.1482880513323448,0.1891852420910044,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.006,0.025,0.095,96,0.14797061045146526,0.18086635594680586,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.006,0.025,0.095,96,0.1561541415102441,0.21460862918716103,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.006,0.025,0.095,96,0.1449641820164183,0.18198244405422265,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.006,0.025,0.095,96,0.147147523802355,0.1851737947156552,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.006,0.025,0.1,96,0.14418420062277773,0.18881581012274884,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.006,0.025,0.1,96,0.14873882130548283,0.1830416602776171,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.006,0.025,0.1,96,0.15410641402489927,0.20440666095138363,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.006,0.025,0.1,96,0.13627701348118784,0.17724347821987163,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.006,0.025,0.1,96,0.14362554313593384,0.19528488163135807,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.006,0.025,0.1,96,0.14808838673066563,0.19049645569495519,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.006,0.025,0.1,96,0.14693658587002104,0.17947536076275933,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.006,0.025,0.1,96,0.1588986168262809,0.21491770525247889,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.006,0.025,0.1,96,0.14605854717395722,0.18299301593492,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.006,0.025,0.1,96,0.1472474339130901,0.1865598107045399,1e-06,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.006,0.025,0.105,96,0.14367564450745532,0.18938630333246267,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.006,0.025,0.105,96,0.15006652227125583,0.18375830125092846,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.006,0.025,0.105,96,0.15557521771956842,0.20677264633583933,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.006,0.025,0.105,96,0.13566946401360155,0.17874273944941999,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.006,0.025,0.105,96,0.14286315673278968,0.19385596502347224,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.006,0.025,0.105,96,0.14886252946875972,0.19196248354511,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.006,0.025,0.105,96,0.1459444859190131,0.17847592260989834,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.006,0.025,0.105,96,0.16063463915040974,0.21437603152075213,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.006,0.025,0.105,96,0.14697812096959792,0.18345235421812361,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.006,0.025,0.105,96,0.14674943296845566,0.1773754934389325,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,42,0.006,0.025,0.11,96,0.14349759496565523,0.19008919806622943,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,43,0.006,0.025,0.11,96,0.15093992518681298,0.1848950389514135,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,44,0.006,0.025,0.11,96,0.15733510395870867,0.20939790936834096,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,45,0.006,0.025,0.11,96,0.13535391729697252,0.18002248082035932,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,46,0.006,0.025,0.11,96,0.14227768886175712,0.19283570418500479,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.006,0.025,0.11,96,0.15065282816958792,0.19388207825746662,1e-08,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.006,0.025,0.11,96,0.1450017752955872,0.17745860757963847,1e-07,4,2,ring,rx_zz_rx,uniform,amplitude,paperish
