family,seed,units,sr,input_scale,leak,task,val_nmse,test_nmse,alpha,replicate,val_rank_pct
ESN,42,100,0.9,0.1,1.0,narma10,0.1450311532769894,0.1829544851219022,0.01,narma10__seed42,0.037037037037037
ESN,42,100,0.9,0.1,1.0,lorenz,5.5624295383709466e-08,2.261955676868067e-08,1e-08,lorenz__seed42,0.2222222222222222
ESN,42,100,0.9,0.1,1.0,sunspots_annual,0.189404407918992,0.1373537973341167,1.0,sunspots_annual__seed42,0.3703703703703703
ESN,42,100,0.9,0.5,0.3,mackey_glass,7.57337390477232e-05,1.882179612072959e-05,1e-07,mackey_glass__seed42,0.7777777777777778
ESN,42,100,0.9,0.5,0.3,narma10,0.3680437671007791,0.3184720718438159,0.1,narma10__seed42,0.6666666666666666
ESN,42,100,0.9,0.5,0.3,lorenz,2.585341014921084e-05,6.721850804992969e-05,0.0001,lorenz__seed42,0.6666666666666666
ESN,42,100,0.9,0.5,0.3,sunspots_annual,0.1998329317092961,0.2592261969556348,0.1,sunspots_annual__seed42,0.5925925925925926
ESN,42,100,0.9,0.5,0.7,mackey_glass,8.55517852187276e-06,7.536243269305206e-06,1e-06,mackey_glass__seed42,0.3333333333333333
ESN,42,100,0.9,0.5,0.7,narma10,0.2831193041655305,0.2417529753253986,0.1,narma10__seed42,0.3703703703703703
ESN,42,100,0.9,0.5,0.7,lorenz,3.604483961161957e-07,1.6153171473868236e-07,1e-08,lorenz__seed42,0.4444444444444444
ESN,42,100,0.9,0.5,0.7,sunspots_annual,0.1863409613136298,0.1348390834686166,0.01,sunspots_annual__seed42,0.3333333333333333
ESN,42,100,0.9,0.5,1.0,mackey_glass,2.365682249699149e-06,1.9002917918680703e-06,1e-08,mackey_glass__seed42,0.1481481481481481
ESN,42,100,0.9,0.5,1.0,narma10,0.222973618409755,0.2750589659829843,0.1,narma10__seed42,0.2222222222222222
ESN,42,100,0.9,0.5,1.0,lorenz,1.076843204860337e-07,3.1699731279453285e-08,1e-07,lorenz__seed42,0.2962962962962963
ESN,42,100,0.9,0.5,1.0,sunspots_annual,0.2284593882673663,0.1550378388185702,10.0,sunspots_annual__seed42,0.8888888888888888
ESN,42,100,0.9,1.0,0.3,mackey_glass,0.0001517069267168,6.335364852966336e-05,1e-06,mackey_glass__seed42,0.8518518518518519
ESN,42,100,0.9,1.0,0.3,narma10,0.3768619572925528,0.3787171429449257,0.01,narma10__seed42,0.7037037037037037
ESN,42,100,0.9,1.0,0.3,lorenz,0.0001112458040085,7.943870895791235e-05,1e-06,lorenz__seed42,0.7777777777777778
ESN,42,100,0.9,1.0,0.3,sunspots_annual,0.2100243976099465,0.2619861505524261,0.1,sunspots_annual__seed42,0.6296296296296297
ESN,42,100,0.9,1.0,0.7,mackey_glass,1.0645509591283447e-05,1.0820714777825003e-05,1e-06,mackey_glass__seed42,0.3703703703703703
ESN,42,100,0.9,1.0,0.7,narma10,0.3594181692027264,0.2909764028264177,0.1,narma10__seed42,0.6296296296296297
ESN,42,100,0.9,1.0,0.7,lorenz,6.50886192703316e-07,9.127175180951776e-07,1e-07,lorenz__seed42,0.4814814814814814
ESN,42,100,0.9,1.0,0.7,sunspots_annual,0.1778998189702691,0.1329353796992547,1.0,sunspots_annual__seed42,0.1851851851851851
ESN,42,100,0.9,1.0,1.0,mackey_glass,5.174452426601401e-06,8.101723466255515e-06,1e-05,mackey_glass__seed42,0.2592592592592592
ESN,42,100,0.9,1.0,1.0,narma10,0.602043181360482,0.5260938581481935,1.0,narma10__seed42,0.925925925925926
ESN,42,100,0.9,1.0,1.0,lorenz,1.6787419720172281e-07,1.6195263635786766e-07,1e-06,lorenz__seed42,0.3333333333333333
ESN,42,100,0.9,1.0,1.0,sunspots_annual,0.2263384734575586,0.1331600864926011,1.0,sunspots_annual__seed42,0.8148148148148148
ESN,42,100,1.1,0.1,0.3,mackey_glass,0.000802606334614,0.0004304872460403,1e-05,mackey_glass__seed42,1.0
ESN,42,100,1.1,0.1,0.3,narma10,0.3311142522724871,0.1935901510227703,0.0001,narma10__seed42,0.4074074074074074
ESN,42,100,1.1,0.1,0.3,lorenz,0.0042539738159448,0.0039522286504953,0.001,lorenz__seed42,1.0
ESN,42,100,1.1,0.1,0.3,sunspots_annual,0.1737540166547451,0.2480863952476027,0.01,sunspots_annual__seed42,0.074074074074074
ESN,42,100,1.1,0.1,0.7,mackey_glass,1.549646711231259e-05,9.885785203450236e-06,1e-07,mackey_glass__seed42,0.4444444444444444
ESN,42,100,1.1,0.1,0.7,narma10,0.1957479073477071,0.1991484044632036,1e-05,narma10__seed42,0.1481481481481481
ESN,42,100,1.1,0.1,0.7,lorenz,2.6874682752941484e-05,3.0276438290283725e-05,1e-06,lorenz__seed42,0.7037037037037037
ESN,42,100,1.1,0.1,0.7,sunspots_annual,0.1951147263286609,0.1823685282096228,1.0,sunspots_annual__seed42,0.4814814814814814
ESN,42,100,1.1,0.1,1.0,mackey_glass,4.294753402677778e-05,4.115892078349638e-05,1e-08,mackey_glass__seed42,0.5555555555555556
ESN,42,100,1.1,0.1,1.0,narma10,0.2505184447787024,0.3072263025786712,0.01,narma10__seed42,0.2592592592592592
ESN,42,100,1.1,0.1,1.0,lorenz,0.0001260045198621,0.0001804553351453,1e-05,lorenz__seed42,0.8148148148148148
ESN,42,100,1.1,0.1,1.0,sunspots_annual,0.1995658326559269,0.149622647339283,1.0,sunspots_annual__seed42,0.5555555555555556
ESN,42,100,1.1,0.5,0.3,mackey_glass,0.0003963495333208,0.0001931312291495,0.001,mackey_glass__seed42,0.9629629629629628
ESN,42,100,1.1,0.5,0.3,narma10,0.4123500363392438,0.2370161074245103,0.001,narma10__seed42,0.8148148148148148
ESN,42,100,1.1,0.5,0.3,lorenz,0.0013829323045271,0.0018093478990149,0.1,lorenz__seed42,0.9629629629629628
ESN,42,100,1.1,0.5,0.3,sunspots_annual,0.2562218914718032,0.3917480440357052,1.0,sunspots_annual__seed42,1.0
ESN,42,100,1.1,0.5,0.7,mackey_glass,4.036195008276415e-05,4.711802442858257e-05,0.0001,mackey_glass__seed42,0.5185185185185185
ESN,42,100,1.1,0.5,0.7,narma10,0.2735180374852466,0.2884726517361985,0.1,narma10__seed42,0.3333333333333333
ESN,42,100,1.1,0.5,0.7,lorenz,0.0002545494374167,6.87043459972883e-05,0.01,lorenz__seed42,0.8888888888888888
ESN,42,100,1.1,0.5,0.7,sunspots_annual,0.1859118986138137,0.2582937086009937,0.1,sunspots_annual__seed42,0.2962962962962963
ESN,42,100,1.1,0.5,1.0,mackey_glass,4.917487023276032e-05,5.8446353420920455e-05,1e-05,mackey_glass__seed42,0.6296296296296297
ESN,42,100,1.1,0.5,1.0,narma10,0.2015036120202869,0.2187635879241521,1.0,narma10__seed42,0.1851851851851851
ESN,42,100,1.1,0.5,1.0,lorenz,1.568015587962269e-05,2.6246693312250908e-05,1e-07,lorenz__seed42,0.6296296296296297
ESN,42,100,1.1,0.5,1.0,sunspots_annual,0.2135850635694645,0.1564712270169214,10.0,sunspots_annual__seed42,0.6666666666666666
ESN,42,100,1.1,1.0,0.3,mackey_glass,0.0002713328667392,7.226551840054416e-05,1e-05,mackey_glass__seed42,0.8888888888888888
ESN,42,100,1.1,1.0,0.3,narma10,0.3809495958878368,0.3899659157785665,0.1,narma10__seed42,0.7407407407407407
ESN,42,100,1.1,1.0,0.3,lorenz,0.0006041807016782,0.0007085531204207,0.001,lorenz__seed42,0.925925925925926
ESN,42,100,1.1,1.0,0.3,sunspots_annual,0.235421451111974,0.2982062200567951,1.0,sunspots_annual__seed42,0.9629629629629628
ESN,42,100,1.1,1.0,0.7,mackey_glass,4.415562317185091e-05,7.00665040408234e-05,0.0001,mackey_glass__seed42,0.5925925925925926
ESN,42,100,1.1,1.0,0.7,narma10,0.3394022323154601,0.2767086575499979,1.0,narma10__seed42,0.4444444444444444
ESN,42,100,1.1,1.0,0.7,lorenz,1.076503693656218e-05,7.750993981918262e-05,1e-05,lorenz__seed42,0.5925925925925926
ESN,42,100,1.1,1.0,0.7,sunspots_annual,0.1775583511562555,0.1422822564233708,1.0,sunspots_annual__seed42,0.1481481481481481
ESN,42,100,1.1,1.0,1.0,mackey_glass,7.137915200132283e-05,5.285806411359464e-05,0.001,mackey_glass__seed42,0.6666666666666666
ESN,42,100,1.1,1.0,1.0,narma10,0.4937302171904416,0.4219119168350989,1.0,narma10__seed42,0.8518518518518519
ESN,42,100,1.1,1.0,1.0,lorenz,3.158862551898301e-05,7.547272902676639e-05,0.0001,lorenz__seed42,0.7407407407407407
ESN,42,100,1.1,1.0,1.0,sunspots_annual,0.2274971124466867,0.1604301490076116,10.0,sunspots_annual__seed42,0.8518518518518519
ESN,43,100,0.5,0.1,0.3,mackey_glass,0.0002500912747964,0.0002200844922752,1e-08,mackey_glass__seed43,0.8888888888888888
ESN,43,100,0.5,0.1,0.3,narma10,0.3431704107815195,0.2945667999448365,0.0001,narma10__seed43,0.4444444444444444
ESN,43,100,0.5,0.1,0.3,lorenz,2.9967297356581e-06,2.488801168870833e-06,1e-08,lorenz__seed43,0.5555555555555556
ESN,43,100,0.5,0.1,0.3,sunspots_annual,0.179991183873154,0.2110327847953464,0.001,sunspots_annual__seed43,0.074074074074074
ESN,43,100,0.5,0.1,0.7,mackey_glass,1.3735266915419723e-05,1.3822039569058265e-05,1e-08,mackey_glass__seed43,0.3703703703703703
ESN,43,100,0.5,0.1,0.7,narma10,0.2802230072311564,0.27044378319371,1e-08,narma10__seed43,0.2962962962962963
ESN,43,100,0.5,0.1,0.7,lorenz,7.951009348711415e-08,5.637938187484548e-08,1e-08,lorenz__seed43,0.3703703703703703
ESN,43,100,0.5,0.1,0.7,sunspots_annual,0.1924062725412779,0.1704052076758798,0.1,sunspots_annual__seed43,0.2592592592592592
ESN,43,100,0.5,0.1,1.0,mackey_glass,2.903893574652753e-06,3.4738247627198627e-06,1e-08,mackey_glass__seed43,0.1851851851851851
ESN,43,100,0.5,0.1,1.0,narma10,0.176280706615369,0.3307490116181916,1e-07,narma10__seed43,0.1111111111111111
ESN,43,100,0.5,0.1,1.0,lorenz,2.6718033156480276e-08,1.772817135211006e-08,1e-08,lorenz__seed43,0.2222222222222222
ESN,43,100,0.5,0.1,1.0,sunspots_annual,0.2166679492083525,0.200031617417013,1.0,sunspots_annual__seed43,0.4814814814814814
ESN,43,100,0.5,0.5,0.3,mackey_glass,8.226134369646726e-05,7.199111801538915e-05,1e-08,mackey_glass__seed43,0.7407407407407407
ESN,43,100,0.5,0.5,0.3,narma10,0.3563343586341583,0.2842324750215489,0.001,narma10__seed43,0.4814814814814814
ESN,43,100,0.5,0.5,0.3,lorenz,1.972961909346783e-07,9.340121018555609e-08,1e-08,lorenz__seed43,0.4444444444444444
ESN,43,100,0.5,0.5,0.3,sunspots_annual,0.1925927733277764,0.2145157127557629,0.001,sunspots_annual__seed43,0.2962962962962963
ESN,43,100,0.5,0.5,0.7,mackey_glass,5.296533355837346e-06,6.093915951979062e-06,1e-08,mackey_glass__seed43,0.2962962962962963
ESN,43,100,0.5,0.5,0.7,narma10,0.376131435226712,0.3202680579735867,0.0001,narma10__seed43,0.6666666666666666
ESN,43,100,0.5,0.5,0.7,lorenz,8.189773794714427e-09,5.937378228415979e-09,1e-08,lorenz__seed43,0.1481481481481481
ESN,43,100,0.5,0.5,0.7,sunspots_annual,0.1982103777876007,0.1489085643910646,0.1,sunspots_annual__seed43,0.4074074074074074
ESN,43,100,0.5,0.5,1.0,mackey_glass,1.4465472149662098e-06,1.7909805935452875e-06,1e-08,mackey_glass__seed43,0.1111111111111111
ESN,43,100,0.5,0.5,1.0,narma10,0.5916643746901407,0.5972932308521943,1e-06,narma10__seed43,0.9629629629629628
ESN,43,100,0.5,0.5,1.0,lorenz,4.35230998796561e-09,2.5919624790229062e-09,1e-08,lorenz__seed43,0.074074074074074
ESN,43,100,0.5,0.5,1.0,sunspots_annual,0.2284589195757067,0.1308272154820413,0.01,sunspots_annual__seed43,0.6666666666666666
ESN,43,100,0.5,1.0,0.3,mackey_glass,0.0001066037259057,4.672959558421752e-05,1e-08,mackey_glass__seed43,0.8518518518518519
ESN,43,100,0.5,1.0,0.3,narma10,0.3860683433615935,0.2764664666389869,0.001,narma10__seed43,0.8148148148148148
ESN,43,100,0.5,1.0,0.3,lorenz,3.6464671938683204e-07,2.721433390403299e-07,1e-07,lorenz__seed43,0.4814814814814814
ESN,43,100,0.5,1.0,0.3,sunspots_annual,0.2223663779312882,0.2544385008053151,0.01,sunspots_annual__seed43,0.5555555555555556
ESN,43,100,0.5,1.0,0.7,mackey_glass,7.168507205503406e-06,6.833396061209415e-06,1e-08,mackey_glass__seed43,0.3333333333333333
ESN,43,100,0.5,1.0,0.7,narma10,0.5126111101500713,0.4299029511185085,0.0001,narma10__seed43,0.925925925925926
ESN,43,100,0.5,1.0,0.7,lorenz,5.063482242394844e-09,2.744735259503873e-09,1e-08,lorenz__seed43,0.1111111111111111
ESN,43,100,0.5,1.0,0.7,sunspots_annual,0.1914885995661794,0.1489637829305011,0.1,sunspots_annual__seed43,0.2222222222222222
ESN,43,100,0.5,1.0,1.0,mackey_glass,2.1125822139461685e-06,2.7610188920613216e-06,1e-08,mackey_glass__seed43,0.1481481481481481
ESN,43,100,0.5,1.0,1.0,narma10,0.6487992277641054,0.7612475980596247,0.01,narma10__seed43,1.0
ESN,43,100,0.5,1.0,1.0,lorenz,2.4308667894453604e-09,1.7283916223059672e-09,1e-08,lorenz__seed43,0.037037037037037
ESN,43,100,0.5,1.0,1.0,sunspots_annual,0.2318242171711953,0.1435124122163538,0.01,sunspots_annual__seed43,0.7407407407407407
ESN,43,100,0.9,0.1,0.3,mackey_glass,6.937021420609875e-05,4.444849954401334e-05,1e-08,mackey_glass__seed43,0.7037037037037037
ESN,43,100,0.9,0.1,0.3,narma10,0.3299600148786265,0.2243201359224281,1e-05,narma10__seed43,0.4074074074074074
ESN,43,100,0.9,0.1,0.3,lorenz,7.239469778190994e-05,6.200609531785413e-05,1e-07,lorenz__seed43,0.8518518518518519
ESN,43,100,0.9,0.1,0.3,sunspots_annual,0.1594167192739476,0.249642924849245,0.0001,sunspots_annual__seed43,0.037037037037037
ESN,43,100,0.9,0.1,0.7,mackey_glass,1.367120147247205e-06,1.5663897616077787e-06,1e-08,mackey_glass__seed43,0.074074074074074
ESN,43,100,0.9,0.1,0.7,narma10,0.2108349721663382,0.1624944826121871,1e-05,narma10__seed43,0.1481481481481481
