ablation,mean_test_nmse,median_test_nmse,mean_val_nmse
mixer_rx_zz_rx,0.1675204489745976,0.0745250989807957,0.1610047649614248
base_AD,0.1871544075215129,0.0768636371952459,0.1836083196628353
mixer_rx_only,0.7513690304351702,0.8605363496255299,0.7855544057449478
mixer_none,0.9759217253641967,0.9968114773165174,1.021252727808784
gamma0_AD,1.0252337337852484,1.0131160871843032,1.030297990643009
depolarizing,1.0415880506988278,1.0205860338944326,1.0726108564447947
dephasing,1.0433992689929588,1.0205860338944277,1.0680040856096966
mixer_zz_only,1.0473182462046091,1.003226045544923,0.9283613675678316
