task,seed,mean_val_rank
lorenz,42,0.20612244897959184
lorenz,43,0.1306122448979592
lorenz,44,0.18775510204081633
lorenz,45,0.12551020408163266
lorenz,46,0.1142857142857143
lorenz,47,0.0663265306122449
lorenz,48,0.19081632653061223
lorenz,49,0.20816326530612245
lorenz,50,0.1173469387755102
lorenz,51,0.18775510204081633
lorenz,52,0.14693877551020407
lorenz,53,0.10102040816326531
lorenz,54,0.11836734693877551
lorenz,55,0.14693877551020407
lorenz,56,0.1285714285714286
lorenz,57,0.11326530612244898
lorenz,58,0.08571428571428572
lorenz,59,0.16530612244897958
lorenz,60,0.0673469387755102
lorenz,61,0.24591836734693875
mackey_glass,42,0.16020408163265304
mackey_glass,43,0.09897959183673469
mackey_glass,44,0.12959183673469388
mackey_glass,45,0.1683673469387755
mackey_glass,46,0.07551020408163266
mackey_glass,47,0.17448979591836733
mackey_glass,48,0.08673469387755102
mackey_glass,49,0.09183673469387756
mackey_glass,50,0.24897959183673468
mackey_glass,51,0.16224489795918368
mackey_glass,52,0.1377551020408163
mackey_glass,53,0.13163265306122449
mackey_glass,54,0.17346938775510204
mackey_glass,55,0.07040816326530613
mackey_glass,56,0.09183673469387754
mackey_glass,57,0.0336734693877551
mackey_glass,58,0.09795918367346938
mackey_glass,59,0.14081632653061224
mackey_glass,60,0.030612244897959183
mackey_glass,61,0.11734693877551021
narma10,42,0.1336734693877551
narma10,43,0.11122448979591837
narma10,44,0.11122448979591837
narma10,45,0.14489795918367349
narma10,46,0.17244897959183675
narma10,47,0.1489795918367347
narma10,48,0.1704081632653061
narma10,49,0.17755102040816328
narma10,50,0.1306122448979592
narma10,51,0.1346938775510204
narma10,52,0.12346938775510204
narma10,53,0.12857142857142856
narma10,54,0.16530612244897958
narma10,55,0.1489795918367347
narma10,56,0.09591836734693877
narma10,57,0.15
narma10,58,0.11326530612244898
narma10,59,0.2
narma10,60,0.3693877551020408
narma10,61,0.16530612244897958
sunspots_annual,42,0.14693877551020407
sunspots_annual,43,0.24591836734693878
sunspots_annual,44,0.061224489795918366
sunspots_annual,45,0.2969387755102041
sunspots_annual,46,0.12551020408163266
sunspots_annual,47,0.27755102040816326
sunspots_annual,48,0.19183673469387758
sunspots_annual,49,0.24693877551020407
sunspots_annual,50,0.17346938775510204
sunspots_annual,51,0.04387755102040816
sunspots_annual,52,0.3153061224489796
sunspots_annual,53,0.29183673469387755
sunspots_annual,54,0.31020408163265306
sunspots_annual,55,0.12959183673469388
sunspots_annual,56,0.22653061224489796
sunspots_annual,57,0.32857142857142857
sunspots_annual,58,0.0663265306122449
sunspots_annual,59,0.1163265306122449
sunspots_annual,60,0.3193877551020408
sunspots_annual,61,0.2989795918367347
