arch,task,seed,beta_pi,lambda_pi,gamma,features,val_nmse,test_nmse,alpha,n,layers,topology,mixer,input_mode,channel,task_profile,model,family,sr,input_scale,leak,replicate,val_rank_pct
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,47,0.02,0.1,0.08,96,0.1532983319903983,0.2111649308727186,0.0001,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,48,0.02,0.1,0.08,96,8.988144866522628e-06,3.3234771172044343e-06,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,48,0.02,0.1,0.08,96,5.520843705230236e-06,6.777042646751928e-06,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,48,0.02,0.1,0.08,96,0.0997884335470872,0.0912675508756842,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,48,0.02,0.1,0.08,96,0.1381600820265724,0.1787915844673228,0.0001,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,49,0.02,0.1,0.08,96,1.5209101238877792e-05,6.846128645932185e-06,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,49,0.02,0.1,0.08,96,1.2862737791146953e-05,1.5698020978071535e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,49,0.02,0.1,0.08,96,0.0986241940604347,0.1035513206692371,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,49,0.02,0.1,0.08,96,0.142718370622374,0.200437042834026,1e-06,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,50,0.02,0.1,0.08,96,3.508542831619414e-05,1.8632968249809435e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,50,0.02,0.1,0.08,96,2.2717371504013404e-05,2.6834485519811788e-05,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,50,0.02,0.1,0.08,96,0.1193583224425307,0.1184637992911718,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,50,0.02,0.1,0.08,96,0.1475663387389259,0.1810990297381099,1e-06,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,lorenz,51,0.02,0.1,0.08,96,1.03167838292416e-05,4.307556393174229e-06,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,mackey_glass,51,0.02,0.1,0.08,96,8.584793824126724e-06,9.920012088000583e-06,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,narma10,51,0.02,0.1,0.08,96,0.1323710175712794,0.1189694878122858,1e-08,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
QRC96_L2_RxZZRx_uniform_pauliRing,sunspots_annual,51,0.02,0.1,0.08,96,0.1368434051606932,0.1875355969364646,1e-06,4.0,2.0,ring,rx_zz_rx,uniform,amplitude,paperish,QRC96,,,,,,
,mackey_glass,42,,,,100,5.58346689429869e-07,5.945854041771054e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed42,0.037037037037037
,narma10,42,,,,100,0.1450311532769894,0.1829544851219022,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed42,0.037037037037037
,lorenz,42,,,,100,5.5624295383709466e-08,2.2619556768680673e-08,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed42,0.2222222222222222
,sunspots_annual,42,,,,100,0.189404407918992,0.1373537973341167,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed42,0.3703703703703703
,mackey_glass,43,,,,100,4.401451449592472e-07,6.163240225598914e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed43,0.037037037037037
,narma10,43,,,,100,0.1367964453601346,0.1844185589719142,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed43,0.037037037037037
,lorenz,43,,,,100,5.21114192981969e-08,3.572586273517316e-08,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed43,0.2592592592592592
,sunspots_annual,43,,,,100,0.1940864684771419,0.1494517518507524,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed43,0.3703703703703703
,mackey_glass,44,,,,100,7.325546268138828e-07,8.696242235746736e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed44,0.037037037037037
,narma10,44,,,,100,0.1666658975365222,0.2089437630196285,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed44,0.037037037037037
,lorenz,44,,,,100,6.944218709840298e-09,7.527677750581452e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed44,0.1481481481481481
,sunspots_annual,44,,,,100,0.1947812758060546,0.1372636788794893,1.0,,,,,,,,ESN100,ESN,0.9,0.1,1.0,sunspots_annual__seed44,0.4444444444444444
,mackey_glass,45,,,,100,6.295414918291262e-07,7.052308283271638e-07,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,mackey_glass__seed45,0.074074074074074
,narma10,45,,,,100,0.1437252287478814,0.257174905096767,0.01,,,,,,,,ESN100,ESN,0.9,0.1,1.0,narma10__seed45,0.037037037037037
,lorenz,45,,,,100,1.5516560688597176e-08,7.615440296403373e-09,1e-08,,,,,,,,ESN100,ESN,0.9,0.1,1.0,lorenz__seed45,0.1851851851851851
