seed,qrc_mean_nmse,esn_mean_nmse,delta_esn_minus_qrc,qrc_task_wins
42,0.07751639258994586,0.08007722491524497,0.002560832325299101,1
43,0.08307416794082248,0.08346774071813798,0.0003935727773155054,1
44,0.0765386724112947,0.08655207976275478,0.010013407351460078,1
45,0.08182712983631771,0.10040356903909335,0.018576439202775654,1
46,0.08129534544127315,0.10374307520540074,0.022447729764127594,1
47,0.08158890917241249,0.09071482242043635,0.009125913248023868,1
48,0.06751730896569273,0.09473656983409168,0.027219260868398945,1
49,0.07600272691322177,0.08201866767506563,0.006015940761843853,1
50,0.07490207412076283,0.09482132318790923,0.0199192490671464,1
51,0.07662982807930789,0.086800869042265,0.010171040962957095,1
