config,features,mean_val_nmse,mean_test_nmse,median_test_nmse
rxzzrx_u_b005_l050_g12,16,0.10350813667542376,0.10208750639641936,0.07485643724577974
rxzzrx_u_b005_l080_g08,16,0.11083333937463162,0.10965057032341521,0.0872348176679077
rxzzrx_u_b010_l050_g08,16,0.11112906791856525,0.10105867832118798,0.0705222391254016
rxzzrx_u_b010_l050_g16,16,0.11585355695161122,0.1188174949209612,0.06815134466656925
rxzzrx_u_b005_l050_g08,16,0.11632815862919607,0.10868126757004112,0.07461279096126135
