heldout_task,n_band_points,rep_beta_pi,rep_lambda_pi,rep_gamma,heldout_band_mean_val_rank,heldout_band_median_val_rank,heldout_rep_mean_val_rank,heldout_band_mean_test_nmse,heldout_rep_mean_test_nmse
lorenz,6,0.04,0.1,0.12,0.2079591836734694,0.1979591836734693,0.1877551020408163,7.064041747152858e-05,5.95041454409208e-05
mackey_glass,4,0.07,0.05,0.22,0.1758163265306122,0.1693877551020408,0.2020408163265306,0.0001163916016573,0.0001194731137331
narma10,13,0.1,0.12,0.22,0.3201883830455259,0.3265306122448979,0.3453061224489796,0.6938742008381001,0.714581701974819
sunspots_annual,9,0.04,0.1,0.12,0.2556462585034014,0.2387755102040816,0.2338775510204081,0.1965300100214918,0.182597170967808
