heldout_seed,band_size,mean_heldout_rank,median_heldout_rank,rep_beta_pi,rep_lambda_pi,rep_gamma
42,21,0.16937965662455456,0.17355037252996436,0.04,0.12,0.22
43,16,0.12218324829931973,0.12723214285714285,0.04,0.12,0.22
44,18,0.11999244142101285,0.11706349206349206,0.04,0.12,0.22
45,19,0.1631310418904404,0.15377730039384174,0.04,0.12,0.22
46,16,0.13052721088435376,0.10820578231292517,0.04,0.12,0.22
47,18,0.16014739229024944,0.1459750566893424,0.04,0.12,0.22
48,20,0.1762755102040816,0.17976190476190476,0.04,0.12,0.22
49,18,0.18036659108087683,0.15589569160997732,0.04,0.12,0.22
50,17,0.11919767907162865,0.11364545818327332,0.04,0.12,0.22
51,16,0.1408375850340136,0.13796768707482993,0.07,0.1,0.22
52,17,0.15446178471388555,0.1481592637054822,0.04,0.12,0.22
53,15,0.1280045351473923,0.11882086167800453,0.04,0.12,0.22
54,16,0.14742772108843538,0.13881802721088435,0.04,0.12,0.22
55,19,0.1667561761546724,0.1561940565699964,0.04,0.12,0.22
56,13,0.11760858189429617,0.11002093144950287,0.04,0.16,0.12
57,18,0.16822562358276644,0.1809334845049131,0.04,0.12,0.22
58,21,0.16690962099125364,0.14342403628117914,0.04,0.12,0.22
59,18,0.17002078609221466,0.14399092970521543,0.04,0.12,0.22
60,15,0.13095238095238096,0.13219954648526078,0.04,0.12,0.22
61,19,0.18783566058002146,0.1914607948442535,0.04,0.12,0.22
