task,seed,readout,beta_pi,lambda_pi,gamma,n,layers,topology,mixer,input_mode,channel,val_nmse,test_nmse,alpha
mackey_glass,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0025879599059064,1.0031745418554134,1000.0
narma10,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0089581510364376,1.040629187161953,1000.0
sunspots_annual,51,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0072140656580664,1.0083937441734425,1000.0
lorenz,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.290030138404305,1.022073445036177,1000.0
mackey_glass,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0047582038564926,1.024076244734976,1000.0
narma10,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9820194520951097,1.0204130557995224,100.0
sunspots_annual,52,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.004670052230118,1.0079029479277115,1000.0
lorenz,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.1950126131879757,0.9642669256952895,100.0
mackey_glass,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9977593692641034,0.9982000219104717,1.0
narma10,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0075521413342547,1.064119281167413,1e-08
sunspots_annual,53,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0084648112746721,1.0044537134089262,1000.0
lorenz,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.1952311230674297,1.0148531858958376,1e-08
mackey_glass,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9997176449309575,1.0042045444798384,1000.0
narma10,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0000946646194622,1.0306597174708285,100.0
sunspots_annual,54,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0064053618820217,1.0093434541200126,1000.0
lorenz,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.219222682748739,0.9982991507890345,1000.0
mackey_glass,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0009636758549267,0.9997540181447434,1000.0
narma10,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0089667908046074,1.0243400066725792,1000.0
sunspots_annual,55,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0074227913742155,1.0100491830274414,1000.0
lorenz,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.221393656874914,1.0232962432163566,1000.0
mackey_glass,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0047150350139413,1.0107858705902484,1000.0
narma10,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0071268781381078,1.029226069602132,1000.0
sunspots_annual,56,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.973134499810575,1.1143231249399168,1.0
lorenz,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.2948866199709017,0.991845696678385,1000.0
mackey_glass,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0018478813327145,1.0038816261475274,1000.0
narma10,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.000995860907489,1.0256131112306568,100.0
sunspots_annual,57,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0064900996846993,1.008289710190186,1000.0
lorenz,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.2202213280933885,1.0051261187133707,1000.0
mackey_glass,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.9993935422895298,1.0037500625702471,1e-08
narma10,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.001473650298648,1.0299625875838458,1e-08
sunspots_annual,58,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0045719574443115,1.010143519589573,1000.0
lorenz,59,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.221625854239006,1.0034032119370115,1000.0
mackey_glass,59,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.001520758747587,0.9975046550999582,1000.0
narma10,59,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0030408814698761,1.0323984254122782,100.0
sunspots_annual,59,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0056492849465986,1.0088207005411407,1000.0
lorenz,60,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.215069775484388,0.9997551301462223,1000.0
mackey_glass,60,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.027650093920479,1.3246642845016574,1000.0
narma10,60,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0228618371208678,1.0572152603024476,1000.0
sunspots_annual,60,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,0.6535982632683869,0.7547421161752067,1.0
lorenz,61,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,2.21975181715304,1.0027373439916312,1e-08
mackey_glass,61,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0001088060717176,1.003052450794368,1000.0
narma10,61,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.00561061842739,1.0290532850138385,1000.0
sunspots_annual,61,Z+ZZ,0.0,0.0,0.0,4,2,ring,rx_zz,uniform,amplitude,1.0055869920028826,1.0097787423055766,1000.0
lorenz,42,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684811028,1.0026944750194429,1e-08
mackey_glass,42,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,42,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728084,1.0273510422713814,1e-08
sunspots_annual,42,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0037867962289182,1.0113276739877992,1e-05
lorenz,43,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684810989,1.0026944750194415,1e-08
mackey_glass,43,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,43,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728084,1.0273510422713823,1e-08
sunspots_annual,43,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0021613367429818,1.0149174004153658,0.01
lorenz,44,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110275,1.002694475019443,1e-08
mackey_glass,44,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,44,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,44,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0036458235768364,1.011587819103063,0.01
lorenz,45,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110314,1.002694475019443,1e-08
mackey_glass,45,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,45,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,45,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0039456947524419,1.0110480183927981,1e-08
lorenz,46,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684811029,1.002694475019443,1e-08
mackey_glass,46,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,46,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713799,1e-08
sunspots_annual,46,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0043102420150731,1.0104371124997111,1e-08
lorenz,47,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110217,1.0026944750194426,1e-08
mackey_glass,47,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,47,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713799,1e-08
sunspots_annual,47,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.003029068586152,1.012808474320687,1e-08
lorenz,48,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684811018,1.0026944750194424,1e-08
mackey_glass,48,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,0.0001
narma10,48,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280828,1.027351042271385,1e-08
sunspots_annual,48,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0050275511566853,1.0093526609696208,0.0001
lorenz,49,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110306,1.002694475019443,1e-08
mackey_glass,49,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,49,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,49,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.001478742277654,1.017009149380312,1e-07
lorenz,50,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848109977,1.002694475019442,1e-08
mackey_glass,50,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-05
narma10,50,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280839,1.027351042271382,1e-08
sunspots_annual,50,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0016738328015393,1.0164075508643995,1e-06
lorenz,51,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684811033,1.002694475019443,1e-08
mackey_glass,51,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,51,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,51,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0025954785645552,1.013796494159843,1e-05
lorenz,52,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.21978968481102,1.0026944750194426,1e-08
mackey_glass,52,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.0030732132063067,1e-05
narma10,52,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280828,1.02735104227138,1e-08
sunspots_annual,52,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0022602285960718,1.0146349946497837,0.0001
lorenz,53,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110314,1.002694475019443,1e-08
mackey_glass,53,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.0030732132063067,1e-06
narma10,53,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280843,1.0273510422713783,1e-08
sunspots_annual,53,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0029827118874173,1.0129124120866941,0.01
lorenz,54,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
mackey_glass,54,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-05
narma10,54,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713799,1e-08
sunspots_annual,54,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0027272484406915,1.0134848033777053,1e-05
lorenz,55,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110314,1.002694475019443,1e-08
mackey_glass,55,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,55,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.02735104227138,1e-08
sunspots_annual,55,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0029345111165313,1.0130163758147104,0.0001
lorenz,56,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684810998,1.002694475019442,1e-08
mackey_glass,56,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.0030732132063067,1e-07
narma10,56,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728084,1.0273510422713814,1e-08
sunspots_annual,56,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0016292932792052,1.0164973621076396,1e-06
lorenz,57,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110314,1.002694475019443,1e-08
mackey_glass,57,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,57,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,57,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.002446918005602,1.0141530286184877,1e-05
lorenz,58,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110323,1.002694475019443,1e-08
mackey_glass,58,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,58,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,58,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0032860770521121,1.0122785931181293,1e-05
lorenz,59,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110306,1.002694475019443,1e-08
mackey_glass,59,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-06
narma10,59,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713799,1e-08
sunspots_annual,59,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.002523001829308,1.013968817269358,1e-08
lorenz,60,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.219789684811012,1.0026944750194424,1e-08
mackey_glass,60,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.0030732132063067,1e-05
narma10,60,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280823,1.0273510422713825,1e-08
sunspots_annual,60,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0031685706800906,1.012520943877819,0.001
lorenz,61,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110323,1.002694475019443,1e-08
mackey_glass,61,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,61,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,61,Z+ZZ,0.0,0.0,0.05,4,2,ring,rx_zz,uniform,amplitude,1.0048958412530102,1.00954142640651,1e-08
lorenz,42,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,42,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,42,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713794,1e-08
sunspots_annual,42,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0033414354560781,1.012169123490572,1e-08
lorenz,43,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110314,1.002694475019443,1e-08
mackey_glass,43,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,43,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,43,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0021774477886007,1.0148569558149128,0.0001
lorenz,44,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110323,1.002694475019443,1e-08
mackey_glass,44,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,44,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0045510097280848,1.0273510422713796,1e-08
sunspots_annual,44,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0022977198245944,1.0145367049580916,1e-06
lorenz,45,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.219789684811034,1.002694475019443,1e-08
mackey_glass,45,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,45,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713794,1e-08
sunspots_annual,45,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0031280571494192,1.01260294329864,1e-05
lorenz,46,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110337,1.002694475019443,1e-08
mackey_glass,46,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-07
narma10,46,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713796,1e-08
sunspots_annual,46,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0037101319820685,1.0114676810992982,1e-08
lorenz,47,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,47,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,47,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,47,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0021252177935882,1.0149998947739727,1e-07
lorenz,48,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,48,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,48,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,48,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.00319749700641,1.012459346308787,1e-07
lorenz,49,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,2.2197896848110346,1.002694475019443,1e-08
mackey_glass,49,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.000091454889107,1.003073213206307,1e-08
narma10,49,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.004551009728085,1.0273510422713792,1e-08
sunspots_annual,49,Z+ZZ,0.0,0.0,0.12,4,2,ring,rx_zz,uniform,amplitude,1.0037356902672487,1.0114211269861086,1e-08
