seed,beta_pi,lambda_pi,gamma,MC,IPCmem,IPCnonlin,IPCtot,Vfeat,reff,n_features,n_diag_samples,mean_val_rank,mean_val_nmse,mean_test_nmse
42,0.04,0.42,0.0,0.01735756874004002,0.06541173297176006,0.0,0.06541173297176006,0.2462372893433698,12.116392556293361,16,750,0.7561224489795918,1.2223452561100479,1.01665526097179
42,0.04,0.42,0.05,8.085447407236902,10.99286292218775,0.048336673037519096,11.04119959522527,0.0015295347677114792,4.9390658628368,16,750,0.1846938775510204,0.10005786800970719,0.11209217467562338
42,0.04,0.42,0.12,8.390566569143887,9.378206751439697,0.7985694600678735,10.17677621150757,0.0022633364180271636,3.578480877403924,16,750,0.1979591836734694,0.1258715615887938,0.14064739810343294
42,0.04,0.42,0.22,6.9675722982897925,7.091883592837459,2.3578019932257703,9.449685586063229,0.0029228635741785094,2.6496830184068054,16,750,0.22755102040816327,0.1770823430428803,0.19493780404148084
42,0.04,0.42,0.3,6.082357648473645,6.082357648467298,3.3028678784156895,9.385225526882987,0.0032188756319626085,2.3009877234555756,16,750,0.19081632653061226,0.1943178208543935,0.2065936189357101
42,0.07,0.0,0.0,0.011775061202824344,0.03533641570902324,0.0010259764227033008,0.03636239213172654,0.422689804773051,11.314784433403995,16,750,0.8469387755102041,1.2970842118954156,1.0030679868200032
42,0.07,0.0,0.05,0.0,0.0,0.5335765550827639,0.5335765550827639,0.0008178646700867439,6.047921962465456,16,750,0.6846938775510204,1.0282126420116493,0.8416169233019206
42,0.07,0.0,0.12,0.0,0.0,1.3391173759555608,1.3391173759555608,0.0009716703756416166,4.606550734915974,16,750,0.713265306122449,1.20506950339335,0.9525749468697076
42,0.07,0.0,0.22,0.0,0.0,2.185651716492095,2.185651716492095,0.0010092459521215597,3.135329518958116,16,750,0.753061224489796,1.2423811452283577,0.9659199424562823
42,0.07,0.0,0.3,0.0,0.0,2.8547829893064365,2.8547829893064365,0.000985622904924138,2.458605098935439,16,750,0.7663265306122449,1.2497331463053851,0.9697684919759689
42,0.07,0.05,0.0,0.0408641999810927,0.08471187462065688,0.009282466989095406,0.09399434160975229,0.36880757287069754,11.592746891083253,16,750,0.8540816326530613,1.3031785672311822,1.006904338434691
42,0.07,0.05,0.05,7.208008896034761,9.077176988522995,0.17431980965080074,9.251496798173795,0.0020694840367094514,5.673551494415273,16,750,0.2979591836734694,0.1268030313456927,0.14055557510745673
42,0.07,0.05,0.12,7.729269601677962,8.111784683425372,1.0557617995434083,9.16754648296878,0.0031532624016184767,4.044180705651716,16,750,0.2795918367346939,0.14846525412203226,0.17077690512682986
42,0.07,0.05,0.22,7.029414559901465,7.029414559895257,2.225797206200455,9.255211766095712,0.004078433776808179,2.9344210305232723,16,750,0.21836734693877552,0.1855523043191371,0.20007022245556205
42,0.07,0.05,0.3,6.033471996896125,6.033471996887803,3.1106238302692577,9.144095827157061,0.004547782025801318,2.495720299355873,16,750,0.22959183673469388,0.19579973943567316,0.20941910740981148
42,0.07,0.1,0.0,0.0,0.0,0.0005187096495845589,0.0005187096495845589,0.23979315781993682,13.675718499096163,16,750,0.7142857142857143,1.2377424710979348,0.9859059313202916
42,0.07,0.1,0.05,7.855018013337225,8.939882726902843,0.5592344742069236,9.499117201109767,0.0025996409727746827,5.399325352389979,16,750,0.2193877551020408,0.09779240819650828,0.11332821797627507
42,0.07,0.1,0.12,7.874746908284326,7.9458193040859415,1.905904812521591,9.851724116607532,0.004030471483540139,3.5089596000237777,16,750,0.1989795918367347,0.13610612400480074,0.16689562042454645
42,0.07,0.1,0.22,5.866996883155475,5.866996883148886,3.782129996443309,9.649126879592195,0.005237208249282085,2.5695526193235874,16,750,0.17448979591836733,0.1921349119736706,0.2093770009838719
42,0.07,0.1,0.3,5.033662378906141,5.03366237889984,4.280047008549822,9.313709387449663,0.005715726232689792,2.2637805611277506,16,750,0.16836734693877553,0.19844590006293186,0.20951403826077766
42,0.07,0.12,0.0,0.0,0.06066411099323954,0.0,0.06066411099323954,0.24297518039458452,13.421859828761567,16,750,0.7612244897959184,1.1208359171200402,0.8310603038354802
42,0.07,0.12,0.05,8.034816577874796,9.382555745725659,0.5354117593130255,9.917967505038684,0.0025261611115185156,5.65753635196783,16,750,0.22448979591836735,0.10515771221540898,0.12768663105807268
42,0.07,0.12,0.12,7.476992212347417,7.589233206347946,2.436231396761814,10.02546460310976,0.004038842653647752,3.389527154976313,16,750,0.17959183673469387,0.15875703485849577,0.1919380773373226
