family,seed,beta_pi,lambda_pi,gamma,MC
QRC,42,0.07,0.1,0.05,9.009144301925977
QRC,42,0.07,0.1,0.12,8.27487291690204
QRC,42,0.07,0.1,0.22,6.078268636993728
QRC,42,0.07,0.1,0.3,5.135481636770029
QRC,42,0.07,0.12,0.0,0.0
QRC,42,0.07,0.12,0.05,9.234456693526264
QRC,42,0.07,0.12,0.12,7.7464969636581085
QRC,42,0.07,0.12,0.22,5.795450681100201
QRC,42,0.07,0.12,0.3,5.17380517191107
QRC,42,0.07,0.16,0.0,0.0163834447017989
QRC,42,0.07,0.16,0.05,8.494776818398591
QRC,42,0.07,0.16,0.12,6.591963325624705
QRC,42,0.07,0.16,0.22,5.3014586994936
QRC,42,0.07,0.16,0.3,4.6209963631189295
QRC,42,0.07,0.28,0.0,0.0015537319241712
QRC,42,0.07,0.28,0.05,6.540488854201973
QRC,42,0.07,0.28,0.12,5.624167362194832
QRC,42,0.07,0.28,0.22,4.64304587153047
QRC,42,0.07,0.28,0.3,4.225473657082473
QRC,42,0.07,0.42,0.0,0.0
QRC,42,0.07,0.42,0.05,8.566906157672538
QRC,42,0.07,0.42,0.12,7.863770378245075
QRC,42,0.07,0.42,0.22,6.140727825111586
QRC,42,0.07,0.42,0.3,5.249848310846508
QRC,42,0.1,0.0,0.0,0.0
QRC,42,0.1,0.0,0.05,0.0
QRC,42,0.1,0.0,0.12,0.0
QRC,42,0.1,0.0,0.22,0.0
QRC,42,0.1,0.0,0.3,0.0
QRC,42,0.1,0.05,0.0,0.0
QRC,42,0.1,0.05,0.05,6.91133618653914
QRC,42,0.1,0.05,0.12,6.951728548305504
QRC,42,0.1,0.05,0.22,6.035295593861752
QRC,42,0.1,0.05,0.3,5.262650696926123
QRC,42,0.1,0.1,0.0,0.0
QRC,42,0.1,0.1,0.05,7.7829041845595
QRC,42,0.1,0.1,0.12,7.275076622402971
QRC,42,0.1,0.1,0.22,5.478698376649872
QRC,42,0.1,0.1,0.3,4.825203234418864
QRC,42,0.1,0.12,0.0,0.0
QRC,42,0.1,0.12,0.05,8.052996793152627
QRC,42,0.1,0.12,0.12,6.891069285443935
QRC,42,0.1,0.12,0.22,5.359667964747423
QRC,42,0.1,0.12,0.3,4.8394295802226335
QRC,42,0.1,0.16,0.0,0.0
QRC,42,0.1,0.16,0.05,7.1857725304498725
QRC,42,0.1,0.16,0.12,5.93182328352837
QRC,42,0.1,0.16,0.22,4.758562050391474
QRC,42,0.1,0.16,0.3,4.21886024509255
QRC,42,0.1,0.28,0.0,0.0033987364710992
QRC,42,0.1,0.28,0.05,5.481520852988788
QRC,42,0.1,0.28,0.12,4.868191039754659
QRC,42,0.1,0.28,0.22,4.261495761608044
QRC,42,0.1,0.28,0.3,3.8857392354658913
QRC,42,0.1,0.42,0.0,0.0
QRC,42,0.1,0.42,0.05,7.232893961730544
QRC,42,0.1,0.42,0.12,6.880828102898898
QRC,42,0.1,0.42,0.22,5.503107249340902
QRC,42,0.1,0.42,0.3,4.866588027614536
QRC,42,0.22,0.0,0.0,0.0
QRC,42,0.22,0.0,0.05,0.0
QRC,42,0.22,0.0,0.12,0.0
QRC,42,0.22,0.0,0.22,0.0
QRC,42,0.22,0.0,0.3,0.0
QRC,42,0.22,0.05,0.0,0.0
QRC,42,0.22,0.05,0.05,3.104624250327074
QRC,42,0.22,0.05,0.12,4.137856628457138
QRC,42,0.22,0.05,0.22,4.113350249812482
QRC,42,0.22,0.05,0.3,3.923923180664452
QRC,42,0.22,0.1,0.0,0.0
QRC,42,0.22,0.1,0.05,3.851108277157413
QRC,42,0.22,0.1,0.12,4.301981099635072
QRC,42,0.22,0.1,0.22,3.910044953316901
