task,esn100_mean_nmse,qrc96_mean_nmse,delta_esn_minus_qrc,qrc96_wins,seeds,qrc96_wins_over_seeds
lorenz,1.0633628599231741e-08,8.320236499268152e-06,-8.309602870668922e-06,0,10,0/10
mackey_glass,7.713065670368375e-07,1.642224087748756e-05,-1.5650934310450724e-05,0,10,0/10
narma10,0.21611944798508653,0.11978191869052209,0.09633752929456445,10,10,10/10
sunspots_annual,0.1452141467948777,0.19095036102052182,-0.0457362142256441,0,10,0/10
