p,q,beta_pi,lambda_pi,gamma,top_frequency,mean_val_rank,mean_val_nmse,in_band
10,0.5,0.0,0.0,0.0,0.0,0.8953061224489796,1.2951559749516144,False
10,0.5,0.0,0.0,0.05,0.0,0.8326275510204082,1.3068643994675895,False
10,0.5,0.0,0.0,0.12,0.0,0.8510969387755102,1.3068663852310618,False
10,0.5,0.0,0.0,0.22,0.0,0.857295918367347,1.3070337809179544,False
10,0.5,0.0,0.0,0.3,0.0,0.8756122448979593,1.30736697789343,False
10,0.5,0.0,0.05,0.0,0.0,0.8638265306122449,1.3019764639147922,False
10,0.5,0.0,0.05,0.05,0.0,0.8156122448979591,1.3067331138112095,False
10,0.5,0.0,0.05,0.12,0.0,0.8451530612244899,1.3066910265853584,False
10,0.5,0.0,0.05,0.22,0.0,0.8566326530612246,1.30708017718827,False
10,0.5,0.0,0.05,0.3,0.0,0.8726275510204081,1.3073760165544057,False
10,0.5,0.0,0.1,0.0,0.0,0.8445408163265306,1.2986221304646102,False
10,0.5,0.0,0.1,0.05,0.0,0.844515306122449,1.3067972950306046,False
10,0.5,0.0,0.1,0.12,0.0,0.8422193877551021,1.306709551808272,False
10,0.5,0.0,0.1,0.22,0.0,0.8582397959183673,1.3072093945298977,False
10,0.5,0.0,0.1,0.3,0.0,0.8707908163265307,1.3073692960663852,False
10,0.5,0.0,0.12,0.0,0.0,0.8682142857142857,1.3020943525532833,False
10,0.5,0.0,0.12,0.05,0.0,0.844515306122449,1.3067471337811083,False
10,0.5,0.0,0.12,0.12,0.0,0.8389030612244899,1.3067027192242258,False
10,0.5,0.0,0.12,0.22,0.0,0.8603826530612245,1.3072548444506518,False
10,0.5,0.0,0.12,0.3,0.0,0.8740051020408164,1.307370582401093,False
10,0.5,0.0,0.16,0.0,0.0,0.875,1.2973327472548521,False
10,0.5,0.0,0.16,0.05,0.0,0.8438010204081632,1.3067734633802346,False
10,0.5,0.0,0.16,0.12,0.0,0.8372704081632654,1.3066817289501427,False
10,0.5,0.0,0.16,0.22,0.0,0.858545918367347,1.3072148632857061,False
10,0.5,0.0,0.16,0.3,0.0,0.8719897959183674,1.3073736690854327,False
10,0.5,0.0,0.28,0.0,0.0,0.8689795918367347,1.287206456109103,False
10,0.5,0.0,0.28,0.05,0.0,0.8356632653061224,1.3067531375560364,False
10,0.5,0.0,0.28,0.12,0.0,0.8356632653061224,1.3067768489423188,False
10,0.5,0.0,0.28,0.22,0.0,0.8534693877551021,1.3071467796076388,False
10,0.5,0.0,0.28,0.3,0.0,0.8684183673469388,1.3073665983672067,False
10,0.5,0.0,0.42,0.0,0.0,0.8809693877551019,1.3031184431774279,False
10,0.5,0.0,0.42,0.05,0.0,0.8199744897959184,1.3066974129657378,False
10,0.5,0.0,0.42,0.12,0.0,0.8418367346938777,1.3066524921737095,False
10,0.5,0.0,0.42,0.22,0.0,0.8548214285714286,1.3071586365375034,False
10,0.5,0.0,0.42,0.3,0.0,0.8732653061224489,1.3073714273741657,False
10,0.5,0.02,0.0,0.0,0.0,0.8681632653061225,1.2772335296759594,False
10,0.5,0.02,0.0,0.05,0.0,0.7190816326530612,1.0333457895332334,False
10,0.5,0.02,0.0,0.12,0.0,0.7186734693877551,1.1281073745076775,False
10,0.5,0.02,0.0,0.22,0.0,0.7620918367346939,1.2290655534363073,False
10,0.5,0.02,0.0,0.3,0.0,0.772704081632653,1.2625707413699438,False
10,0.5,0.02,0.05,0.0,0.0,0.8328061224489796,1.2843869392431047,False
10,0.5,0.02,0.05,0.05,0.2625,0.31821428571428567,0.16703496210445617,False
10,0.5,0.02,0.05,0.12,0.375,0.19576530612244897,0.1130173435902992,False
