metric,spearman_vs_val_rank
MC,-0.8771113558573318
IPCmem,-0.8674761667369656
IPCtot,-0.9096600976002227
IPCnonlin,-0.7750679296173227
Vfeat,0.14395904003947307
reff,0.12646533978129817
